"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"1","PE2","I/O","SPI4_SCK","","SYS_TRACECLK","","","","","SPI4_SCK","SAI1_MCLK_A","","","","","ETH_TXD3","FMC_A23","",""
"2","PE3","I/O","","","SYS_TRACED0","","","","","","SAI1_SD_B","","","","","","FMC_A19","",""
"3","PE4","I/O","","","SYS_TRACED1","","","","","SPI4_NSS","SAI1_FS_A","","","","","","FMC_A20","DCMI_D4","LTDC_B0"
"4","PE5","I/O","SPI4_MISO","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SAI1_SCK_A","","","","","","FMC_A21","DCMI_D6","LTDC_G0"
"5","PE6","I/O","SPI4_MOSI","","SYS_TRACED3","","","TIM9_CH2","","SPI4_MOSI","SAI1_SD_A","","","","","","FMC_A22","DCMI_D7","LTDC_G1"
"6","VBAT","Power","","","","","","","","","","","","","","","","",""
"7","PC13","I/O","","","","","","","","","","","","","","","","",""
"8","PC14/OSC32_IN","I/O","RCC_OSC32_IN","PC14-OSC32_IN","","","","","","","","","","","","","","",""
"9","PC15/OSC32_OUT","I/O","RCC_OSC32_OUT","PC15-OSC32_OUT","","","","","","","","","","","","","","",""
"10","PF0","I/O","I2C2_SDA","","","","","","I2C2_SDA","","","","","","","","FMC_A0","",""
"11","PF1","I/O","I2C2_SCL","","","","","","I2C2_SCL","","","","","","","","FMC_A1","",""
"12","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FMC_A2","",""
"13","PF3","I/O","","","","","","","","","","","","","","","FMC_A3","",""
"14","PF4","I/O","","","","","","","","","","","","","","","FMC_A4","",""
"15","PF5","I/O","","","","","","","","","","","","","","","FMC_A5","",""
"16","VSS","Power","","","","","","","","","","","","","","","","",""
"17","VDD","Power","","","","","","","","","","","","","","","","",""
"18","PF6","I/O","SPI5_NSS","","","","","TIM10_CH1","","SPI5_NSS","SAI1_SD_B","","UART7_RX","","","","FMC_NIORD","",""
"19","PF7","I/O","SPI5_SCK","SPI5_SCK [L3GD20_SCL/SPC]","","","","TIM11_CH1","","SPI5_SCK","SAI1_MCLK_B","","UART7_TX","","","","FMC_NREG","",""
"20","PF8","I/O","SPI5_MISO","SPI5_MISO [L3GD20_SDO]","","","","","","SPI5_MISO","SAI1_SCK_B","","","TIM13_CH1","","","FMC_NIOWR","",""
"21","PF9","I/O","SPI5_MOSI","SPI5_MOSI [L3GD20_SDA/SDI/SDO]","","","","","","SPI5_MOSI","SAI1_FS_B","","","TIM14_CH1","","","FMC_CD","",""
"22","PF10","I/O","","","","","","","","","","","","","","","FMC_INTR","DCMI_D11","LTDC_DE"
"23","PH0/OSC_IN","I/O","RCC_OSC_IN","PH0-OSC_IN","","","","","","","","","","","","","","",""
"24","PH1/OSC_OUT","I/O","RCC_OSC_OUT","PH1-OSC_OUT","","","","","","","","","","","","","","",""
"25","NRST","Reset","","","","","","","","","","","","","","","","",""
"26","PC0","I/O","ADC1_IN10","KNOB_7","","","","","","","","","","","USB_OTG_HS_ULPI_STP","","FMC_SDNWE","",""
"27","PC1","I/O","ADC1_IN11","KNOB_8","","","","","","","","","","","","ETH_MDC","","",""
"28","PC2","I/O","ADC1_IN12","KNOB_VOLUME","","","","","","SPI2_MISO","I2S2_ext_SD","","","","USB_OTG_HS_ULPI_DIR","ETH_TXD2","FMC_SDNE0","",""
"29","PC3","I/O","I2S2_SD","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","ETH_TX_CLK","FMC_SDCKE0","",""
"30","VDD","Power","","","","","","","","","","","","","","","","",""
"31","VSSA","Power","","","","","","","","","","","","","","","","",""
"32","VREF+","Power","","","","","","","","","","","","","","","","",""
"33","VDDA","Power","","","","","","","","","","","","","","","","",""
"34","PA0/WKUP","I/O","GPIO_EXTI0","B1 [Blue PushButton]","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","","ETH_CRS","","",""
"35","PA1","I/O","ADC2_IN1","MIC_IN_ADC","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","UART4_RX","","","ETH_REF_CLK/ETH_RX_CLK","","",""
"36","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","","","","ETH_MDIO","","",""
"37","PA3","I/O","ADC1_IN3","KNOB_1","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","","USART2_RX","","","USB_OTG_HS_ULPI_D0","ETH_COL","","","LTDC_B5"
"38","VSS","Power","","","","","","","","","","","","","","","","",""
"39","VDD","Power","","","","","","","","","","","","","","","","",""
"40","PA4","I/O","ADC1_IN4","KNOB_2","","","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","USB_OTG_HS_SOF","DCMI_HSYNC","LTDC_VSYNC"
"41","PA5","I/O","ADC1_IN5","KNOB_3","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","SPI1_SCK","","","","","USB_OTG_HS_ULPI_CK","","","",""
"42","PA6","I/O","ADC1_IN6","KNOB_4","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","","","","TIM13_CH1","","","","DCMI_PIXCLK","LTDC_G2"
"43","PA7","Output","GPIO_Output","ACP_RST","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","SPI1_MOSI","","","","TIM14_CH1","","ETH_CRS_DV/ETH_RX_DV","","",""
